epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,64519.8,1.32084,1.42301,1.50061,0.7336,0.52318,0.62605,0.4128,1.34333,1.34922,1.47684,0.008614,0.008614,0.008614
44,66019.4,1.31746,1.42083,1.5046,0.75584,0.51987,0.62866,0.41221,1.31208,1.32636,1.44242,0.008581,0.008581,0.008581
45,67519.2,1.32021,1.41167,1.50411,0.70865,0.5,0.61099,0.39791,1.33201,1.29779,1.45599,0.008548,0.008548,0.008548
46,69018.6,1.30512,1.40008,1.49694,0.75348,0.5298,0.63672,0.41029,1.34016,1.30856,1.47353,0.008515,0.008515,0.008515
47,70519,1.31482,1.41973,1.50286,0.70753,0.54967,0.64255,0.42083,1.29648,1.27793,1.44609,0.008482,0.008482,0.008482
48,72018.9,1.29467,1.3854,1.48935,0.84114,0.50662,0.64348,0.41454,1.31644,1.29863,1.45252,0.008449,0.008449,0.008449
49,73519,1.30319,1.38547,1.49014,0.72163,0.55796,0.63929,0.41734,1.34299,1.29054,1.43588,0.008416,0.008416,0.008416
50,75019.8,1.29611,1.38659,1.48874,0.76878,0.5298,0.64425,0.42,1.29779,1.2342,1.42584,0.008383,0.008383,0.008383
51,76520.2,1.30113,1.38908,1.49062,0.83442,0.52318,0.65419,0.43024,1.27698,1.25566,1.42491,0.00835,0.00835,0.00835
52,78020.9,1.29449,1.37632,1.48321,0.77639,0.51736,0.64383,0.4227,1.29149,1.25112,1.4347,0.008317,0.008317,0.008317
53,79521,1.29059,1.37753,1.48265,0.78467,0.51656,0.63302,0.42392,1.26961,1.26873,1.40493,0.008284,0.008284,0.008284
54,81021.7,1.29262,1.37924,1.48403,0.76524,0.50993,0.64161,0.42054,1.28181,1.27205,1.40656,0.008251,0.008251,0.008251
55,82522.3,1.27802,1.37355,1.47824,0.79808,0.51043,0.65236,0.43887,1.23234,1.2348,1.37251,0.008218,0.008218,0.008218
56,84023.2,1.27666,1.3722,1.48036,0.74881,0.52649,0.63577,0.41332,1.2845,1.25734,1.40902,0.008185,0.008185,0.008185
57,85522.6,1.27146,1.3546,1.47136,0.76497,0.54964,0.65185,0.42864,1.2745,1.24413,1.39406,0.008152,0.008152,0.008152
58,87022.8,1.27052,1.35823,1.47445,0.78849,0.50993,0.62527,0.41863,1.26605,1.28273,1.4085,0.008119,0.008119,0.008119
59,88522.7,1.27361,1.36727,1.47099,0.74562,0.50662,0.62646,0.40785,1.30394,1.29795,1.45447,0.008086,0.008086,0.008086
60,90022.8,1.27569,1.35459,1.46945,0.74953,0.52649,0.65178,0.42376,1.26058,1.25518,1.38728,0.008053,0.008053,0.008053
61,91522.6,1.2736,1.37285,1.47069,0.80147,0.49007,0.64085,0.42296,1.25635,1.23791,1.38794,0.00802,0.00802,0.00802
62,93023.3,1.27319,1.35566,1.47271,0.70612,0.53642,0.64372,0.42144,1.28578,1.24214,1.41567,0.007987,0.007987,0.007987
63,94523.3,1.26773,1.34422,1.46903,0.77425,0.54967,0.66003,0.4229,1.27243,1.21998,1.42526,0.007954,0.007954,0.007954
64,96023.4,1.26062,1.3347,1.46444,0.77841,0.55629,0.67319,0.43754,1.27219,1.23054,1.40504,0.007921,0.007921,0.007921
65,97522.4,1.2624,1.34549,1.46866,0.75386,0.56954,0.65114,0.43316,1.25209,1.20765,1.38724,0.007888,0.007888,0.007888
66,99023.1,1.27079,1.34049,1.46804,0.82939,0.51512,0.66166,0.42632,1.31851,1.2412,1.45064,0.007855,0.007855,0.007855
67,100523,1.25849,1.33859,1.4582,0.73295,0.55629,0.66037,0.43531,1.24082,1.23406,1.37748,0.007822,0.007822,0.007822
