epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,26777.2,1.18143,0.85389,1.23319,0.71948,0.7058,0.77632,0.45989,1.45814,1.06045,1.4354,0.0015941,0.0015941,0.0015941
43,27412.2,1.17497,0.8466,1.23373,0.77548,0.7027,0.8012,0.48883,1.3819,1.00591,1.3486,0.0015842,0.0015842,0.0015842
44,28051.5,1.16967,0.84727,1.23079,0.73056,0.70025,0.77844,0.47251,1.42094,1.03337,1.3955,0.0015743,0.0015743,0.0015743
45,28688.5,1.16761,0.85327,1.23367,0.72928,0.7082,0.77251,0.45732,1.41792,1.03617,1.36996,0.0015644,0.0015644,0.0015644
46,29324.4,1.16113,0.83265,1.22058,0.73539,0.69042,0.77776,0.46827,1.40731,1.05862,1.37726,0.0015545,0.0015545,0.0015545
47,29958.5,1.16305,0.83297,1.23094,0.77308,0.69779,0.79422,0.48285,1.3745,0.9893,1.36849,0.0015446,0.0015446,0.0015446
48,30594.8,1.15089,0.83546,1.221,0.75333,0.71253,0.78722,0.47354,1.41144,0.98812,1.38098,0.0015347,0.0015347,0.0015347
49,31232,1.15863,0.82485,1.22342,0.73862,0.69533,0.78171,0.47153,1.43657,1.02989,1.41451,0.0015248,0.0015248,0.0015248
50,31871,1.17472,0.83451,1.23148,0.7212,0.69533,0.77288,0.45867,1.46138,1.06669,1.40684,0.0015149,0.0015149,0.0015149
51,32507,1.14808,0.82343,1.21872,0.75922,0.71499,0.78723,0.46917,1.40674,1.02683,1.39716,0.001505,0.001505,0.001505
52,33140.6,1.14482,0.83026,1.22342,0.76821,0.70031,0.77008,0.4506,1.43429,1.06417,1.39943,0.0014951,0.0014951,0.0014951
53,33779,1.14364,0.83539,1.21894,0.729,0.7027,0.77989,0.47122,1.43907,1.04756,1.45031,0.0014852,0.0014852,0.0014852
54,34420.1,1.14377,0.82636,1.21915,0.71132,0.73219,0.79,0.47505,1.41154,1.01346,1.39924,0.0014753,0.0014753,0.0014753
55,35058.1,1.14462,0.82469,1.21971,0.81387,0.63145,0.77355,0.47023,1.42351,1.02448,1.40393,0.0014654,0.0014654,0.0014654
56,35697,1.14663,0.81069,1.22336,0.75787,0.67674,0.76886,0.45284,1.38513,1.05828,1.36349,0.0014555,0.0014555,0.0014555
57,36336.3,1.13389,0.80578,1.21063,0.79517,0.68677,0.78986,0.46941,1.42296,1.03381,1.40814,0.0014456,0.0014456,0.0014456
58,36973.8,1.15158,0.8087,1.20722,0.73823,0.69289,0.76993,0.46307,1.43769,1.0179,1.40519,0.0014357,0.0014357,0.0014357
