epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,24043.5,1.34687,1.12191,1.36053,0.71295,0.73229,0.79518,0.48143,1.37509,1.09531,1.33088,0.001307,0.001307,0.001307
44,24690.3,1.34688,1.09476,1.35636,0.77766,0.70468,0.79898,0.47471,1.38632,1.04093,1.35159,0.0012905,0.0012905,0.0012905
45,25338.7,1.34219,1.07297,1.34371,0.78907,0.70774,0.81477,0.49159,1.36282,0.9915,1.34823,0.001274,0.001274,0.001274
46,25988.5,1.33509,1.07954,1.34327,0.75712,0.674,0.77668,0.48358,1.3845,1.02051,1.36511,0.0012575,0.0012575,0.0012575
47,26639.1,1.32917,1.07444,1.3356,0.69939,0.74314,0.80692,0.48977,1.36514,1.02187,1.32543,0.001241,0.001241,0.001241
48,27287.1,1.34095,1.07233,1.34056,0.78842,0.71007,0.81269,0.49418,1.35072,1.04351,1.33538,0.0012245,0.0012245,0.0012245
49,27934.2,1.32849,1.06817,1.33552,0.78452,0.68305,0.81017,0.49251,1.34895,1.012,1.32017,0.001208,0.001208,0.001208
50,28583.9,1.31052,1.04574,1.32743,0.7696,0.71499,0.81138,0.48197,1.40927,1.01495,1.35263,0.0011915,0.0011915,0.0011915
51,29226.9,1.31361,1.04821,1.33342,0.75813,0.71499,0.81326,0.49021,1.39825,0.99353,1.36145,0.001175,0.001175,0.001175
52,29871.2,1.31267,1.05132,1.32271,0.73279,0.72769,0.7905,0.47127,1.38684,1.1016,1.34656,0.0011585,0.0011585,0.0011585
53,30514.3,1.32113,1.05014,1.33793,0.78436,0.68059,0.80726,0.49023,1.37792,1.00388,1.33482,0.001142,0.001142,0.001142
54,31160.4,1.30259,1.04112,1.32368,0.74369,0.72236,0.81296,0.48857,1.38177,1.00318,1.32978,0.0011255,0.0011255,0.0011255
55,31810,1.29441,1.02443,1.31981,0.7722,0.72727,0.80646,0.48369,1.37283,0.97387,1.33571,0.001109,0.001109,0.001109
56,32458.6,1.31553,1.02628,1.33143,0.73937,0.74939,0.81507,0.47757,1.41939,0.98029,1.36773,0.0010925,0.0010925,0.0010925
57,33107.6,1.28351,1.01188,1.31289,0.78471,0.71744,0.81478,0.49825,1.35726,1.00538,1.3311,0.001076,0.001076,0.001076
58,33757.7,1.28452,1.01765,1.31818,0.78905,0.70025,0.80645,0.48452,1.39289,0.99795,1.33962,0.0010595,0.0010595,0.0010595
59,34405.1,1.27536,1.01329,1.30657,0.71436,0.78651,0.81061,0.48803,1.38954,0.99085,1.35902,0.001043,0.001043,0.001043
60,35053.6,1.27223,1.00619,1.30418,0.73417,0.75676,0.80853,0.4902,1.36074,0.98819,1.33947,0.0010265,0.0010265,0.0010265
61,35704.2,1.28485,1.01339,1.31487,0.71708,0.7371,0.79312,0.48366,1.36163,0.96736,1.32604,0.00101,0.00101,0.00101
62,36351.3,1.27709,0.98976,1.31164,0.73481,0.74888,0.79463,0.48262,1.37698,0.975,1.33062,0.0009935,0.0009935,0.0009935
63,36998.5,1.26348,0.98743,1.29938,0.74385,0.72776,0.80608,0.48309,1.35682,0.96291,1.34732,0.000977,0.000977,0.000977
64,37648.7,1.28345,0.98591,1.29633,0.74705,0.71838,0.80355,0.49392,1.36337,0.95591,1.33786,0.0009605,0.0009605,0.0009605
65,38294.6,1.27489,0.99673,1.30302,0.75144,0.72236,0.80194,0.49001,1.33937,0.96856,1.31846,0.000944,0.000944,0.000944
66,38942.7,1.25554,0.96563,1.2928,0.77488,0.68504,0.78608,0.47971,1.39153,0.97126,1.36507,0.0009275,0.0009275,0.0009275
67,39591.1,1.24964,0.96223,1.28639,0.75306,0.74447,0.80478,0.49478,1.36551,0.97715,1.33209,0.000911,0.000911,0.000911
68,40239.8,1.25361,0.96186,1.29262,0.7656,0.71744,0.8077,0.49082,1.38976,0.97415,1.34672,0.0008945,0.0008945,0.0008945
69,40887.6,1.25314,0.95893,1.29174,0.74849,0.73956,0.80692,0.50615,1.34659,0.94235,1.3175,0.000878,0.000878,0.000878
70,41537.2,1.25313,0.96843,1.29595,0.73395,0.73881,0.80643,0.48586,1.39296,0.94898,1.36475,0.0008615,0.0008615,0.0008615
71,42185.4,1.23827,0.9625,1.28587,0.75423,0.71499,0.80098,0.48127,1.39055,0.99818,1.35552,0.000845,0.000845,0.000845
72,42833.9,1.23262,0.94017,1.28176,0.80042,0.71744,0.81763,0.50328,1.37883,0.95597,1.34317,0.0008285,0.0008285,0.0008285
73,43480.1,1.2327,0.94117,1.27774,0.71684,0.71499,0.78792,0.48884,1.3763,0.98029,1.34291,0.000812,0.000812,0.000812
74,44123.2,1.21926,0.93181,1.27235,0.75592,0.71529,0.79738,0.48964,1.37591,0.98372,1.33824,0.0007955,0.0007955,0.0007955
75,44768.4,1.21995,0.92166,1.27068,0.75387,0.71499,0.79409,0.48036,1.39843,0.99659,1.35024,0.000779,0.000779,0.000779
76,45411.8,1.21671,0.91295,1.26756,0.67822,0.76658,0.79052,0.47568,1.38726,1.01109,1.34411,0.0007625,0.0007625,0.0007625
77,46060.9,1.2106,0.91063,1.26508,0.73525,0.70281,0.79372,0.4818,1.37965,0.98562,1.33379,0.000746,0.000746,0.000746
78,46706,1.20987,0.91782,1.2684,0.67907,0.79361,0.80505,0.49205,1.35518,0.98378,1.32469,0.0007295,0.0007295,0.0007295
79,47348.6,1.20415,0.90392,1.26239,0.74584,0.70762,0.80169,0.48959,1.39311,0.98578,1.34391,0.000713,0.000713,0.000713
80,47995.4,1.20106,0.89805,1.26018,0.70553,0.7371,0.78831,0.47914,1.37305,0.97842,1.33599,0.0006965,0.0006965,0.0006965
81,48640.4,1.20623,0.9021,1.258,0.78858,0.66585,0.78675,0.46841,1.417,0.98705,1.3666,0.00068,0.00068,0.00068
82,49283.7,1.19798,0.89637,1.25101,0.75041,0.67962,0.78815,0.48215,1.38242,0.98574,1.33573,0.0006635,0.0006635,0.0006635
83,49930.6,1.18414,0.88817,1.24721,0.76924,0.67813,0.79194,0.47475,1.41951,1.00471,1.37928,0.000647,0.000647,0.000647
84,50576.5,1.17803,0.88753,1.24676,0.69921,0.75921,0.79596,0.48573,1.37198,0.9698,1.3478,0.0006305,0.0006305,0.0006305
85,51227.1,1.18892,0.87986,1.24539,0.72689,0.70762,0.78201,0.48001,1.35752,0.99635,1.32868,0.000614,0.000614,0.000614
86,51874.2,1.17524,0.86708,1.23819,0.77106,0.66202,0.78415,0.48446,1.37462,0.99744,1.3542,0.0005975,0.0005975,0.0005975
87,52515.7,1.18526,0.87524,1.24719,0.69126,0.75676,0.78885,0.47742,1.37582,0.98479,1.35299,0.000581,0.000581,0.000581
88,53164.2,1.16263,0.87126,1.24522,0.75014,0.6855,0.78946,0.47656,1.38484,0.97445,1.3537,0.0005645,0.0005645,0.0005645
89,53808.2,1.16349,0.85803,1.23949,0.73679,0.69287,0.79421,0.48277,1.36172,0.98248,1.33275,0.000548,0.000548,0.000548
